Código,Descrição,Classificação Fiscal,EAN (Unidade),EAN (Display),EAN  (Caixa),Cod,Grupo,Cod,Familia,Linha
12138557,NESTLE Farinha Lactea Trdl Sac 9x600g BR,1901.10.20      ,7891000078518,,7891000078525,106,CEREAIS FAMILIA,36,FARINHA LACTEA SACHET,Nestlé
12142466,NAN COMFOR 1 Formula Infantil 12x400g BR,1901.10.10      ,7891000065389,,7891000065396,111,FORMULAS INFANTIS,70,FAMILIA NAN COMFOR,Nestlé
12146794,PASSATEMPO Mini Wfr Mrg 16 28x20g  BR   ,1905.32.00      ,7891000081211,7891000081228,7891000081235,105,BISCOITOS,26,BISCOITOS WAFER,Nestlé
12146795,PASSATEMPO MiniWfrChoc 16 28x20g BR     ,1905.32.00      ,7891000081242,7891000081259,7891000081266,105,BISCOITOS,26,BISCOITOS WAFER,Nestlé
12150285,NESCAU ACTIGEN-E Bebida Lactea 12x1L BR ,2202.99.00EX01  ,7891000081501,,7891000081518,101,ACHOCOLATADOS RTD,1,RTD 1L,Nestlé
12162314,NESTON 3 Cereais 18x400g N1 BR          ,1104.29.00      ,7891000011300,,17891000009267,106,CEREAIS FAMILIA,39,NESTON 3C LATA,Nestlé
12171055,MUCILON BL Multicereais Sachet 9x600g BR,1901.10.30      ,7891000086131,,7891000086148,102,BABY FOOD,8,MUCILON TRAD SACHET,Nestlé
12171594,BONO Biscoito Recheado Ddl 63x140g BR   ,1905.31.00      ,7891000086193,,7891000086209,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12171631,NEGRESCO BiscRecheadoChocolate 63x140gBR,1905.31.00      ,7891000086216,,7891000086223,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12173473,NESTLE NAN SOY 6x800g BR                ,2106.90.90      ,50000298723,,50000688746,111,FORMULAS INFANTIS,74,FORMULAS ESPECIAIS,Nestlé
12174148,NESTLE PapCrmdeMho e PeitodeFrg 6x170gBR,2104.20.00      ,7891000087213,,7891000087220,102,BABY FOOD,4,ALIMENTOS INFANTIS VIDRO,Nestlé
12174456,MOCA Brigadeiro 6x385g BR               ,1901.90.90      ,7891000155806,,7891000087299,114,LEITES CULINARIOS,102,MOCA DOCERIA,Nestlé
12174457,MOCA Beijinho 6x365g BR                 ,1901.90.90      ,7891000155905,,7891000087312,114,LEITES CULINARIOS,102,MOCA DOCERIA,Nestlé
12174458,MOCA Chocolate Cremoso 6x380g BR        ,1901.90.90      ,7891000156209,,7891000087336,114,LEITES CULINARIOS,102,MOCA DOCERIA,Nestlé
12177187,NUTREN KIDS Baunilha 12x350g BR         ,2106.90.30      ,7891000087794,,7891000087800,112,HEALTH SCIENCE,79,NUTREN KIDS,Nestlé
12177188,NUTREN KIDS Chocolate 12x350gBR         ,2106.90.30      ,7891000087817,,7891000087824,112,HEALTH SCIENCE,79,NUTREN KIDS,Nestlé
12182407,CLASSIC Biscoito Recheado 60x140g BR    ,1905.31.00      ,7891000089194,,7891000089200,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12182408,NESCAU Biscoito Recheado 60x140g BR     ,1905.31.00      ,7891000089279,,7891000089286,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12182409,MOCA Biscoito Recheado 60x140g BR       ,1905.31.00      ,7891000089255,,7891000089262,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
12182430,PRESTIGIO Biscoito Recheado 60x140g BR  ,1905.31.00      ,7891000089231,,7891000089248,105,BISCOITOS,25,BISCOITOS DEMAIS RECHEADOS,Nestlé
